80 1.77 0.327 18.7
244 1.51 0.221 19.9
380 1.3 0.135 20.8
475 1.17 0.0899 21.6
580 1.07 0.0562 22.3
680 1.02 0.0373 22.6
801 0.998 0.0247 22.7
